blockNumber,blockHash,timestamp,from,to,value,gas,gasPrice,txHash,txType
70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0xbe02aba56bae1624e2c4f029e3a79308e2a19e98,0x42d877932366dcaff751405c3185393f2803962d,0x0,0xf4240,0x5d21dba00,0xe1c35ffc7ac9729a876a06dd614698606c0603c273caa43caea47e8301d600d1,TxTypeSmartContractExecution

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0xbe02aba56bae1624e2c4f029e3a79308e2a19e98,0x42d877932366dcaff751405c3185393f2803962d,0x0,0xf4240,0x5d21dba00,0xfffe47ead61eac778ee6bcb4d7193702fbae36eff870481856e87722a3be1103,TxTypeSmartContractExecution

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0x8bb84569a709fadeb2e94e5fdf9e4b9f6de97da1,0xb67098426cc415991b71fd073a5a3f79c5866dbe,0x0,0x2dc6c0,0x5d21dba00,0x8fde38d3f8fc63e2634209e7559150244b51aee9d98b1ab8cbdfdd543cce41be,TxTypeFeeDelegatedSmartContractExecution

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0x409714664a3bf32563485af3b2d8e0eb8fdc2a71,0x8ce0e8f3219145a74a8f55bd752ddfb5788bdbcf,0x0,0x16e360,0x5d21dba00,0xc810464af12a9c99f8196222058855cf7a7b8bc02ffb4590b05d866f6af0fea2,TxTypeSmartContractExecution

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0xdd8362cc6e3d27644bed4a507125945a7f764cd5,0x76d55eaf804f5f2b5560522205597a660c2a6e62,0x0,0x230089,0x5d21dba00,0x1f3fccb50c641072c9edb4554b097bf60879cf35645e5c53ff8b9b2cf6f024b7,TxTypeSmartContractExecution

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0xcccccccc6d5f77db86097b3cb52356744e5e7fa2,0xba7114d877d85699a3d7e3a69a9e9f04aa42b5d3,0x0,0x1312d00,0x5d21dba00,0xde0d41af7184bea770f4fe9a3972133c803421735fcac978ffcb5b9f24440798,TxTypeLegacyTransaction

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0x61d8ac173a77ede0ad66465407934db1e6315937,0xc6a2ad8cc6e4a7e08fc37cc5954be07d499e7654,0x0,0xf4240,0x5d21dba00,0xd8eb72f4dab3754ef8475d207367f03354ba5ad5de8b7c05c2205f8207ad50de,TxTypeFeeDelegatedSmartContractExecutionWithRatio

70000005,0x0afb13e859eb641201bddd2478570533dc64b2e0e78f7af0fcdb2aa73b2840aa,0x61421d51,0x61d8ac173a77ede0ad66465407934db1e6315937,0xc6a2ad8cc6e4a7e08fc37cc5954be07d499e7654,0x0,0xf4240,0x5d21dba00,0x7f946a2c1d0ac8bedeb2cafcf424363b982bc8c7309eb8adc6e44830b9f66e9a,TxTypeFeeDelegatedSmartContractExecutionWithRatio

